Title,Topic,Section
Canna (plant),Biology and health sciences,Monocots
Cannabaceae,Biology and health sciences,Rosales
Cannabis,Biology and health sciences,Rosales
Cannabis (drug),Biology and health sciences,Drugs and pharmacology
Cannabis culture,Society and social sciences,Groups
Cannabis indica,Biology and health sciences,Rosales
Cannabis ruderalis,Biology and health sciences,Rosales
Cannabis sativa,Biology and health sciences,Rosales
Canned fish,Everyday life,Seafood
Cannes,Geography,France
Cannes Film Festival,Arts,Film festival and awards
Cannibalism,Society and social sciences,Crimes against the person
Canning,Everyday life,Preparation and serving
Cannon,Technology,Artillery and siege
Canoe,Technology,Maritime transport
Canoe slalom,Everyday life,Water sports
Canoe sprint,Everyday life,Water sports
Canoeing,Everyday life,Water sports
Canon (music),Arts,Basic forms
Canon law,Society and social sciences,Religious law
Canon law of the Catholic Church,Society and social sciences,Religious law
Canonical coordinates,Physical sciences,Classical mechanics
Canonical ensemble,Physical sciences,Statistical mechanics
Canopus,Physical sciences,Notable stars
Cant (language),Society and social sciences,Descriptive linguistics
Cantabria,Geography,Spain
Cantaloupe,Biology and health sciences,Melons
Cantar de mio Cid,Arts,Poetic works of the medieval era
Cantata,Arts,Basic forms
Canterbury,Geography,England
Canterbury Region,Geography,New Zealand
Cantharellus cibarius,Biology and health sciences,Edible fungi
Cantilever bridge,Technology,Transport infrastructure
Cantinflas,People,Americas: General_3
Canton Island,Geography,Oceania_3
Canton of Bern,Geography,Switzerland
Canton of Fribourg,Geography,Switzerland
Canton of Geneva,Geography,Switzerland
Canton of Lucerne,Geography,Switzerland
Canton of Neuchâtel,Geography,Switzerland
Canton of Schwyz,Geography,Switzerland
Canton of Solothurn,Geography,Switzerland
Canton of St. Gallen,Geography,Switzerland
Canton of Zug,Geography,Switzerland
Canton of Zurich,Geography,Switzerland
Cantonese,Society and social sciences,Sino-Tibetan languages
Cantonese cuisine,Everyday life,Cuisine
Cantonese opera,Arts,Theatre
Cantonese people,Society and social sciences,China_2
Cantopop,Arts,Popular music: General
Cantor set,Mathematics,Other
Cantor's diagonal argument,Mathematics,Set theory
Cantor's theorem,Mathematics,Discrete mathematics
Canvas,Technology,Fabrics and fibers
Canyon,Physical sciences,Fluvial landforms
Canyoning,Everyday life,Recreation and tourism
Cao Cao,People,Eastern Asia
Cao Futian,People,China_3
Cao Pi,People,China
Cao Wei,History,Eastern Asia
Cao Xueqin,People,Asia_3
Cao Zhi,People,Asia_5
Caodaism,Philosophy and religion,New religious movements
Cap,Everyday life,Headgear
Cap Anson,People,United States
Cap de Formentor,Geography,"Cliffs, headlands, stacks and natural arches"
Cap of the North,Geography,Nordic countries
Cap-Haïtien,Geography,Haiti
Capacitance,Physical sciences,Electrical circuits
Capacitor,Technology,Components
Capacity factor,Technology,Concepts
Cape,Everyday life,Outerwear
Cape (geography),Physical sciences,Oceanic and coastal landforms
Cape Agulhas,Geography,Africa_4
Cape Breton Island,Geography,Canada_2
Cape Canaveral,Geography,Americas
Cape Chidley,Geography,Americas
Cape Cod,Geography,Americas
Cape Cod Canal,Geography,Canals
Cape Colony,History,Africa_7
Cape Crillon,Geography,Asia_4
Cape Eluanbi,Geography,Asia_4
"Cape Farewell, Greenland",Geography,Americas
Cape Fear (headland),Geography,Americas
Cape Hatteras,Geography,Americas
Cape Horn,Geography,South America_4
Cape Kamui,Geography,Asia_4
Cape Leeuwin,Geography,Oceania_4
Cape Lopatka,Geography,Asia_4
Cape Morris Jesup,Geography,Americas
Cape Muroto,Geography,Asia_4
Cape Reinga,Geography,Oceania_4
Cape Sata,Geography,Asia_4
Cape São Roque,Geography,Americas
Cape Sōya,Geography,Asia_4
Cape Town,Geography,South Africa
Cape Verde,Geography,West Africa
Cape York (Greenland),Geography,Americas
Cape York Peninsula,Geography,Oceania_4
Cape Zhelaniya,Geography,Europe_4
Cape of Good Hope,Geography,Africa_4
Capella,Physical sciences,Notable stars
Caper,Biology and health sciences,Herbs and spices
Capetian dynasty,History,France
Capillary,Biology and health sciences,Circulatory system
Capital (economics),Society and social sciences,Business and economics: General
Capital appreciation,Society and social sciences,Banking and financing
Capital city,Geography,Urban studies and planning
Capital gain,Society and social sciences,Banking and financing
Capital gains tax,Society and social sciences,Taxation
Capital market,Society and social sciences,Securities
Capital punishment,Society and social sciences,Basics_3
Capitalism,Society and social sciences,Politics and government
Capitalism and Freedom,Arts,General non-fiction
"Capitalism, Socialism and Democracy",Arts,General non-fiction
Capitoline Hill,Arts,Europe
Capitoline Wolf,Arts,Sculpture_2
Capoeira,Everyday life,Combat sport and martial arts
Cappadocia,Geography,Turkey
Cappuccino,Everyday life,Hot drinks
Capra (genus),Biology and health sciences,Artiodactyla
Capricornus,Physical sciences,Zodiac
Capsaicin,Physical sciences,Alkaloids
Capstan (nautical),Technology,Mechanisms
Capsule (pharmacy),Biology and health sciences,General concepts_2
Captain (naval),Society and social sciences,Military ranks
Captain Ahab,Arts,Literature and drama
Captain America,Arts,Heroes
Captain Beefheart,People,Rock: General
Captain Charles Johnson,People,Europe_3
Capture the flag,Everyday life,Other games and plays
Capua,History,Europe_3
Capuchin monkey,Biology and health sciences,Primates
Capybara,Biology and health sciences,Rodents
Car,Technology,Transportation
Car bomb,Technology,Explosive weapons
Car wash,Technology,Concepts of ground transport
Carabao (band),People,Thai_2
Caracal,Biology and health sciences,Felines
Caracalla,People,Roman Emperors and Empresses
Caracas,Geography,Venezuela
Caracas Metro,Technology,Americas
Caraga,Geography,Philippines
Caral,History,Americas
Caral–Supe civilization,History,Americas_2
Caramelization,Physical sciences,Organic reactions
Caranx,Biology and health sciences,Acanthomorpha
Carassius,Biology and health sciences,Cypriniformes
Carat (mass),Physical sciences,Mass and weight
Caravaggio,People,Renaissance to early modern
Caravan (Juan Tizol and Duke Ellington song),Arts,Jazz_2
Caravel,Technology,Naval transport
Caraway,Biology and health sciences,Herbs and spices
Carbamazepine,Biology and health sciences,Specific drugs
Carbide,Physical sciences,Ceramic compounds
Carbohydrate,Biology and health sciences,Chemistry
Carbon,Physical sciences,Chemistry
Carbon (API),Technology,Software development: General
Carbon budget,Physical sciences,Climate change
Carbon cycle,Physical sciences,Earth science basics: General
Carbon dioxide,Physical sciences,Chemistry
Carbon disulfide,Physical sciences,Molecular compounds
Carbon fibers,Technology,Fabrics and fibers
Carbon group,Physical sciences,Group 14
Carbon monoxide,Physical sciences,Inorganic compounds
Carbon monoxide poisoning,Biology and health sciences,Types
Carbon nanotube,Physical sciences,Chemical elements_2
Carbon planet,Physical sciences,Planetary science
Carbon sequestration,Physical sciences,Earth science basics: General
Carbon star,Physical sciences,Stellar astronomy
Carbon steel,Physical sciences,Iron alloys
Carbon tetrachloride,Physical sciences,Halocarbons
Carbon tetrafluoride,Physical sciences,Halocarbons
Carbon-14,Physical sciences,Group 14
Carbon-based life,Biology and health sciences,Biology basics
Carbon-burning process,Physical sciences,Stellar astronomy
Carbon-dioxide laser,Technology,Lasers
Carbon-fiber reinforced polymer,Technology,Materials
Carbonara,Everyday life,Food types
Carbonate,Physical sciences,Salts
Carbonate mineral,Physical sciences,Minerals
Carbonate rock,Physical sciences,Petrology
Carbonated water,Everyday life,Cold drinks
Carbonic acid,Physical sciences,Specific acids
Carboniferous,Physical sciences,Geological timescale
Carbonyl group,Physical sciences,Concepts: General
Carborane,Physical sciences,Hydrogen compounds
Carborane acid,Physical sciences,Specific acids
Carboxylic acid,Physical sciences,Carbon–oxygen bond
Carcassonne (board game),Everyday life,Board games
Carcinogen,Biology and health sciences,Cancer
Carcinus maenas,Biology and health sciences,Crabs and hermit crabs
Card game,Everyday life,Recreation and entertainment
Card manipulation,Arts,Magic
Cardamom,Biology and health sciences,Monocots
Cardboard,Technology,Materials
Cardboard box,Technology,Containers
Cardiac arrest,Biology and health sciences,Injury
Cardiac cycle,Biology and health sciences,Basics
Cardiac muscle,Biology and health sciences,Muscular system
Cardiff,Geography,United Kingdom_2
Cardiff University,Society and social sciences,Russell Group
Cardinal Mazarin,People,France_2
Cardinal Richelieu,People,France_2
Cardinal beetle,Biology and health sciences,Beetles (Coleoptera)
Cardinal direction,Geography,Cartography
Cardinal number,Mathematics,Basics
Cardinal virtues,Philosophy and religion,Concepts
Cardinalidae,Biology and health sciences,Passerida
Cardinality,Mathematics,Set theory
Cardinality of the continuum,Mathematics,Set theory
Carding,Technology,Textiles
Cardiogenic shock,Biology and health sciences,Cardiovascular disease
Cardioid,Mathematics,Two-dimensional space
Cardiology,Biology and health sciences,Fields of medicine
Cardiopulmonary bypass,Technology,Techniques
Cardiopulmonary resuscitation,Biology and health sciences,Treatments
Cardiovascular disease,Biology and health sciences,Illness and injury
Career,Society and social sciences,Employment
Caresse Crosby,People,Engineering and invention
Carex,Biology and health sciences,Poales
Cargill,Society and social sciences,Food and drinks
Cargo,Technology,Basics_11
Cargo aircraft,Technology,Types of aircraft
Cargo cult,Philosophy and religion,New religious movements
Cargo ship,Technology,Maritime transport
Caribbean,Geography,Continents and regions
Caribbean Community,Society and social sciences,Intergovernmental organizations
Caribbean Sea,Geography,Oceans and seas
Caribbean cuisine,Everyday life,Cuisine
Caribbean plate,Physical sciences,Tectonic plates
Caridina,Biology and health sciences,Shrimps and prawns
Carillon,Arts,Percussion instruments
Carina (constellation),Physical sciences,Other
Carina Nebula,Physical sciences,Notable nebulae
Carinthia,Geography,Austria
"Carl ""Alfalfa"" Switzer",People,United States
Carl Akeley,People,Biology
Carl Andre,People,Sculptors
Carl Barks,People,"Comics and manga artists, print cartoonists and illustrators"
Carl Benz,People,Inventors and engineers
Carl Bernstein,People,Journalists: General
Carl Blegen,People,Anthropologists and archaeologists
Carl Bosch,People,Chemistry
Carl Chun,People,Biology
Carl Czerny,People,Pedagogues
Carl Dahlhaus,People,Musicologists and music theorists
Carl David Anderson,People,Physics
Carl Diem,People,Olympics
Carl Friedrich Gauss,People,Mathematicians
Carl Gustaf Emil Mannerheim,People,Scandinavia
Carl Gustaf Mosander,People,Chemistry
Carl Gustav Jacob Jacobi,People,Modern_11
Carl Hagenbeck,People,Circus
Carl Icahn,People,"Banking, finance and trade"
Carl Jung,People,Psychologists
Carl Larsson,People,Modern era
Carl Lewis,People,Athletics
Carl Linnaeus,People,Scientists and inventors
Carl Maria von Weber,People,Romantic
Carl Menger,People,Economists and business theorists
Carl Michael Bellman,People,"Music producers, songwriters and businesspeople"
Carl Nielsen,People,Post-romantic/early modern
Carl Nägeli,People,Biology
Carl Orff,People,20th century modern
Carl Osburn,People,Shooting
Carl Perkins,People,Rock and roll
Carl Philipp Emanuel Bach,People,Classical
Carl Reiner,People,United States_3
Carl Ritter,People,Human geographers and cartographers
Carl Rogers,People,Psychologists
Carl Sagan,People,Astronomy
Carl Sandburg,People,US and Canada_2
Carl Schmitt,People,Modern Europe
Carl Spaatz,People,United States_2
Carl Spitteler,People,Western Europe_2
Carl Theodor Dreyer,People,Directors
Carl Wagner,People,Chemistry
Carl Wieman,People,Physics
Carl Wilhelm Scheele,People,Scandinavia
Carl Wilhelm Siemens,People,Engineering and invention
Carl Woese,People,Biology
Carl Zeiss,People,Other
Carl von Clausewitz,People,Modern_8
Carl von Ossietzky,People,Europe_5
Carles Puigdemont,People,Iberia_3
Carleton Watkins,People,Photographers
Carli Lloyd,People,European_2
Carlo Ancelotti,People,Association football_2
Carlo Blasis,People,Ballet
Carlo Favetti,People,Western Europe_2
Carlo Gambino,People,Organized crime
Carlo Gesualdo,People,Medieval and Renaissance
Carlo Ginzburg,People,Modern (after AD 1800)_2
Carlo Goldoni,People,Early modern_3
Carlo Gozzi,People,Early modern_3
Carlo Maderno,People,Architects
Carlo Maria Giulini,People,Conductors
Carlo Rubbia,People,Physics
Carlos Alberto Torres,People,Defenders
Carlos Andrés Pérez,People,Venezuela_2
Carlos Antonio López,People,Paraguay
Carlos Castillo Armas,People,Guatemala_2
Carlos Filipe Ximenes Belo,People,"Modern, 1800-present"
Carlos Fuentes,People,Latin America
Carlos Gardel,People,Spanish
Carlos I of Portugal,People,Iberia_2
Carlos Ibáñez del Campo,People,Chile
Carlos Kleiber,People,Conductors
Carlos Manuel Arana Osorio,People,Guatemala_2
Carlos Marighella,People,Latin America
Carlos Menem,People,Argentina_2
Carlos Monzón,People,Boxing
Carlos Prío Socarrás,People,Cuba_2
Carlos Raúl Villanueva,People,Architects
Carlos Ruiz Zafón,People,Western Europe
